recency,frequency,monetary
2061,0.033333333,110.38
1585,0.006666666,15.68
2843,0.006666666,24.98
2850,0.033333333,43.29
2893,0.006666666,20.75
480,0.233333333,575.74
1494,0.053333333,224.88
302,0.066666666,566.31
1952,0.100000000,166.72
420,0.180000000,241.33
1742,0.060000000,85.57
2500,0.013333333,94.50
2113,0.040000000,53.12
609,0.080000000,61.95
867,0.013333333,7.58
502,0.140000000,194.85
1488,0.160000000,264.87
2428,0.020000000,82.70
1216,0.046666666,67.14
493,0.266666666,248.55
1848,0.060000000,46.01
1487,0.093333333,101.90
560,0.080000000,227.39
648,0.106666666,45.58
833,0.066666666,164.36
503,1.006666666,3485.06
2746,0.020000000,44.12
2749,0.093333333,136.15
840,0.280000000,706.13
2453,0.013333333,22.96
243,0.720000000,2195.00
2867,0.026666666,159.07
374,0.013333333,19.78
822,0.260000000,926.37
418,0.080000000,191.85
1917,0.013333333,103.84
1086,0.120000000,232.98
213,1.633333333,3927.88
268,1.020134228,1183.70
1637,0.033557046,116.17
2213,0.006711409,13.13
168,0.899328859,1635.13
2119,0.073825503,114.95
2815,0.040268456,68.21
1000,0.006711409,28.50
1408,0.154362416,337.86
1746,0.013422818,14.03
337,0.738255033,1813.67
518,0.335570469,625.19
1214,0.798657718,1382.46
1713,0.006711409,7.90
327,0.174496644,340.23
866,0.033557046,43.07
2182,0.013422818,11.41
863,0.046979865,120.52
1859,0.442953020,2167.69
2351,0.033557046,105.63
2566,0.020134228,102.81
1697,0.006711409,12.99
601,0.053691275,119.12
1036,0.892617449,587.74
2847,0.026845637,35.68
380,0.073825503,180.79
1435,0.422818791,1342.22
251,0.751677852,1655.24
2927,0.006711409,14.10
2644,0.013422818,175.31
2619,0.020134228,53.89
337,0.020134228,34.34
2077,0.080536912,127.46
1594,0.234899328,645.46
2352,0.026845637,150.22
2748,0.026845637,43.30
2476,0.013422818,56.63
373,0.053691275,85.00
797,0.026845637,27.38
770,0.033557046,92.56
1552,0.080536912,384.46
170,0.006711409,23.59
2689,0.013422818,134.92
2532,0.006711409,21.25
1316,0.093959731,174.93
858,0.013422818,41.09
189,0.248322147,397.04
2484,0.033557046,134.91
2323,0.006711409,49.99
1986,0.033557046,245.89
1582,0.013422818,34.22
2843,0.046979865,44.24
1676,0.006711409,33.13
500,0.335570469,514.34
872,0.026845637,56.47
1375,0.456375838,465.98
348,0.093959731,91.17
1359,0.033557046,24.01
837,0.040268456,89.70
330,0.187919463,355.80
270,0.080536912,143.55
2449,0.006711409,34.95
2260,0.020134228,62.13
1632,0.046979865,233.45
2791,0.020134228,498.17
498,0.348993288,1546.27
621,0.020134228,192.76
602,0.161073825,345.45
1307,0.093959731,132.24
946,0.013422818,77.58
621,0.510067114,584.33
2628,0.020134228,63.87
197,3.013422818,7376.37
682,0.288590604,539.30
1763,0.006711409,41.63
2678,0.006711409,71.21
2715,0.046979865,187.07
534,0.208053691,460.20
2740,0.033557046,73.62
369,0.322147651,750.39
426,0.026845637,33.84
1372,0.107382550,204.59
1007,0.174496644,173.30
811,0.006711409,10.28
2578,0.006711409,5.82
582,0.040268456,132.98
1239,0.033557046,88.40
2047,0.040268456,106.61
1672,0.013422818,4.32
1043,0.040268456,77.38
378,0.174496644,242.97
1591,0.033557046,170.27
1973,0.046979865,121.78
2688,0.046979865,118.12
285,0.214765100,218.07
446,0.825503355,561.51
839,1.020134228,2240.34
1981,0.040268456,164.27
2252,0.053691275,73.73
2815,0.013422818,51.77
2588,0.006711409,46.20
846,0.033557046,98.16
1652,0.033557046,19.31
1279,0.046979865,97.60
1869,0.006711409,11.36
501,0.268456375,413.96
2686,0.006711409,112.86
563,0.013422818,35.05
2848,0.033557046,46.91
1132,0.006711409,20.19
1625,0.026845637,74.55
1323,0.033557046,34.40
1323,0.013422818,28.37
797,0.120805369,219.51
2352,0.107382550,121.49
870,0.100671140,223.02
2345,0.013422818,102.26
197,0.872483221,944.58
381,0.060402684,90.04
289,0.046979865,38.23
686,0.100671140,216.43
1103,0.040268456,84.82
2285,0.087248322,388.26
2259,0.006711409,85.42
2487,0.020134228,48.53
2002,0.013422818,45.66
2694,0.107382550,90.72
851,0.093959731,311.19
848,0.228187919,448.45
1678,0.020134228,31.46
466,0.161073825,420.36
454,0.026845637,47.90
2448,0.026845637,65.80
183,0.221476510,362.92
2924,0.013422818,41.72
483,0.033557046,63.80
385,0.006711409,5.38
2423,0.013422818,169.15
1637,0.013422818,7.34
170,0.060402684,203.91
981,0.060402684,135.27
784,0.053691275,51.08
879,0.053691275,121.72
501,0.006711409,29.15
433,0.053691275,57.77
2711,0.006711409,195.42
1274,0.026845637,252.11
1034,0.026845637,62.63
774,0.100671140,75.15
1592,0.020134228,163.41
2923,0.053691275,48.75
1945,0.033557046,171.31
431,0.187919463,449.41
1016,0.154362416,221.78
2311,0.033557046,72.16
742,0.013422818,41.77
1273,0.006711409,14.88
1446,0.416107382,595.97
1443,0.020134228,107.91
324,0.919463087,1446.99
2522,0.033557046,87.75
206,0.248322147,573.34
286,2.214765100,5419.41
2008,0.026845637,46.45
197,0.046979865,133.76
2342,0.013422818,49.51
1462,0.483221476,1132.47
2762,0.013422818,35.34
1444,0.060402684,34.13
222,0.047297297,71.47
2380,0.027027027,34.49
227,0.168918918,333.04
2011,0.027027027,14.95
1203,0.006756756,7.88
2170,0.135135135,552.91
776,0.047297297,151.30
1757,0.108108108,113.29
171,0.364864864,826.26
308,0.317567567,866.45
438,0.121621621,151.92
2928,0.027027027,50.53
262,1.236486486,1735.37
1047,0.047297297,145.12
2084,0.006756756,21.63
447,0.202702702,179.82
311,0.702702702,2080.82
2240,0.040540540,71.32
985,0.101351351,145.88
1956,0.108108108,248.17
931,0.027027027,58.08
331,0.006756756,16.66
546,0.020270270,101.42
409,0.114864864,427.30
190,0.087837837,120.00
169,0.168918918,262.96
1472,0.006756756,33.52
1148,0.135135135,250.39
1558,0.148648648,162.52
493,0.283783783,959.17
2530,0.074324324,166.54
1619,0.195945945,316.13
2275,0.027027027,83.69
1532,0.081081081,312.49
1407,0.972972972,1824.10
622,0.013513513,7.95
1854,0.027027027,157.49
625,0.074324324,211.81
842,0.027027027,50.46
2777,0.033783783,317.61
2193,0.006756756,141.63
2316,0.006756756,41.66
1543,0.033783783,159.31
2191,0.006756756,29.96
516,0.006756756,32.96
991,0.006756756,57.83
1977,0.013513513,54.93
2727,0.013513513,46.43
433,0.168918918,300.84
235,0.027027027,49.38
2710,0.006756756,74.96
377,2.283783783,3677.23
1325,0.027027027,22.91
1161,0.013513513,39.61
1765,0.006756756,31.47
423,0.074324324,135.25
1297,0.047297297,84.99
1994,0.033783783,34.74
2328,0.027027027,62.42
1079,0.067567567,219.57
2327,0.020270270,56.22
277,0.027027027,118.27
2468,0.182432432,209.01
1193,0.040540540,50.75
2665,0.006756756,27.41
429,0.304054054,415.79
899,0.027027027,24.04
1236,0.027027027,20.04
2002,0.040540540,47.36
1003,0.121621621,240.60
446,0.101351351,245.70
2800,0.040540540,33.62
2308,0.013513513,90.94
909,0.033783783,80.44
2588,0.020270270,101.22
275,0.277027027,525.99
1728,0.135135135,109.36
2314,0.013513513,66.65
1186,0.304054054,446.21
628,0.040540540,28.86
1697,0.074324324,249.88
1060,0.033783783,107.19
1726,0.047297297,31.54
1216,0.020270270,118.08
2557,0.060810810,106.00
1396,0.033783783,24.13
1926,0.033783783,43.59
1747,0.128378378,381.64
365,0.689189189,624.40
2183,0.060810810,89.67
353,0.135135135,282.65
983,0.006756756,9.50
444,0.006756756,24.13
2660,0.074324324,140.20
243,0.074324324,119.60
1152,0.250000000,731.40
976,0.006756756,6.16
680,0.060810810,74.53
809,0.020270270,30.99
677,1.297297297,6318.06
2015,0.439189189,864.79
165,0.054054054,79.64
1310,0.168918918,236.80
1041,0.081081081,81.15
2354,0.033783783,54.30
266,0.060810810,270.39
916,0.162162162,611.30
1982,0.027027027,159.04
2856,0.013513513,23.77
538,0.074324324,263.38
1088,0.006756756,18.81
1724,0.033783783,19.03
2843,0.040540540,72.40
1591,0.013513513,100.16
1206,0.013513513,15.21
1876,0.033783783,95.56
1691,0.087837837,116.26
1912,0.054054054,35.39
1622,0.013513513,28.26
414,0.020270270,48.28
1294,0.074324324,125.60
1348,0.013513513,26.37
1911,0.094594594,143.11
1625,0.027027027,8.92
186,1.081081081,1165.72
2520,0.067567567,127.78
2580,0.033783783,164.84
310,0.405405405,631.29
298,0.554054054,710.54
2377,0.013513513,158.31
2556,0.013513513,67.13
1526,0.141891891,348.49
2149,0.020270270,90.02
1954,0.040540540,100.54
616,0.054054054,64.65
2612,0.006756756,57.50
1942,0.054054054,61.75
866,0.033783783,87.66
1548,0.013513513,4.68
417,0.020270270,44.66
623,0.517006802,718.57
212,0.034013605,28.82
1470,0.034013605,56.50
2718,0.061224489,143.16
1753,0.006802721,6.66
1059,0.102040816,289.01
1901,0.013605442,19.63
2536,0.068027210,166.40
230,0.306122448,891.72
630,0.401360544,466.57
865,0.013605442,38.78
879,0.129251700,264.39
1444,0.149659863,140.15
1765,0.006802721,15.46
1495,0.006802721,69.29
1099,0.013605442,28.75
184,0.197278911,237.34
1142,0.027210884,68.32
2445,0.027210884,27.03
280,0.190476190,254.77
2309,0.197278911,285.72
801,0.013605442,11.90
2258,0.013605442,44.76
1627,0.183673469,261.70
212,0.020408163,27.59
906,0.306122448,544.41
498,0.020408163,21.91
1216,0.217687074,645.13
242,0.040816326,88.98
2167,0.346938775,850.01
1282,0.074829931,134.65
196,0.204081632,491.24
2062,0.013605442,61.18
1082,0.210884353,613.61
2425,0.054421768,46.05
1086,0.482993197,1316.42
1527,0.142857142,373.07
905,0.027210884,23.68
713,0.319727891,1236.31
2438,0.027210884,33.95
178,0.258503401,618.70
523,0.020408163,12.93
824,0.061224489,92.77
272,0.034013605,50.56
990,0.020408163,30.10
215,0.204081632,292.43
442,0.034013605,87.34
427,0.401360544,310.53
458,0.095238095,113.73
540,0.469387755,811.38
2284,0.020408163,57.74
1234,0.020408163,141.49
748,0.047619047,80.17
2170,0.013605442,42.74
162,1.557823129,4551.13
1881,0.074829931,67.98
1991,0.034013605,163.48
1157,0.040816326,114.52
2316,0.054421768,106.72
1265,0.020408163,31.51
388,0.340136054,613.29
1610,0.006802721,14.27
1188,0.136054421,105.54
1076,0.421768707,531.07
922,0.027210884,144.04
2715,0.020408163,33.44
1496,0.190476190,426.98
482,0.959183673,3090.29
475,0.006802721,28.47
200,0.006802721,6.65
629,0.006802721,27.76
1230,0.027210884,117.71
1535,0.326530612,466.57
1975,0.006802721,54.00
2621,0.006802721,23.30
1579,0.027210884,59.35
267,0.414965986,743.14
721,0.108843537,206.57
1646,0.047619047,102.68
2288,0.013605442,15.55
637,0.027210884,31.46
923,0.047619047,104.54
1062,0.006802721,8.10
1533,0.013605442,22.63
896,0.190476190,380.17
1599,0.027210884,26.44
2482,0.006802721,69.67
169,0.353741496,475.25
504,0.163265306,338.89
836,0.102040816,191.42
2640,0.006802721,14.92
1290,0.306122448,157.88
446,0.258503401,492.54
2893,0.013605442,46.07
192,0.142857142,735.79
406,0.353741496,867.86
2507,0.020408163,171.32
563,0.238095238,461.46
2711,0.020408163,214.95
495,0.102040816,104.85
944,0.027210884,73.43
2372,0.006802721,72.83
2195,0.142857142,676.99
870,0.040816326,79.98
1236,0.149659863,355.92
1354,0.013605442,36.38
1594,0.115646258,155.55
252,0.034013605,52.28
869,0.176870748,333.48
423,0.095238095,76.02
623,0.027210884,18.32
2113,0.006802721,41.63
1226,0.020408163,37.02
2193,0.081632653,87.43
1401,0.401360544,488.62
988,0.054421768,113.45
163,0.217687074,236.34
2400,0.013605442,66.65
1831,0.176870748,263.33
235,0.040816326,45.91
326,0.047619047,115.31
499,0.020408163,16.77
802,0.102040816,97.55
2095,0.040816326,85.76
167,0.047619047,67.24
2924,0.006802721,53.12
484,0.034013605,54.21
1206,0.081632653,174.81
869,0.047619047,66.49
800,0.006802721,16.66
500,0.095238095,302.43
2345,0.027210884,118.29
459,1.088435374,1666.65
720,0.006802721,17.11
938,0.006802721,20.76
1983,0.040816326,168.50
343,0.115646258,321.86
1155,0.047619047,55.68
2326,0.027210884,104.81
254,0.721088435,515.46
2164,0.034013605,131.93
1444,0.088435374,60.83
