recency,frequency,monetary
634,1,7.09
2870,1,49.79
2905,4,90.27
2272,10,142.91
1365,5,136.15
173,9,227.25
390,62,506.86
2171,7,101.69
858,7,106.63
2858,4,115.50
2118,2,88.90
208,34,463.32
2337,1,54.92
1580,31,460.21
2841,1,24.58
2721,1,49.92
217,128,747.01
2255,5,189.93
415,24,466.47
951,31,255.26
1114,2,18.39
2618,4,73.39
1751,4,16.63
1725,11,272.73
2550,5,97.67
1746,2,17.74
200,13,190.05
1806,11,143.36
207,22,302.24
255,70,642.54
2486,21,256.42
1677,10,209.50
2206,5,159.35
299,81,1245.32
1608,1,19.93
718,2,50.37
1914,1,11.36
344,8,90.51
1653,204,2127.77
2294,3,62.45
2649,3,86.19
177,25,258.71
433,63,784.67
450,87,929.15
809,1,17.38
354,2,13.25
354,2,10.62
290,7,62.21
2842,1,19.95
1635,1,4.70
1151,19,398.65
2814,1,17.22
2068,5,110.38
1592,1,15.68
2850,1,24.98
2857,5,43.29
2900,1,20.75
487,35,575.74
1501,8,224.88
309,10,566.31
1959,15,166.72
427,27,241.33
1749,9,85.57
2507,2,94.50
2120,6,53.12
616,12,61.95
874,2,7.58
509,21,194.85
1495,24,264.87
2435,3,82.70
1223,7,67.14
500,40,248.55
1855,9,46.01
1494,14,101.90
567,12,227.39
655,16,45.58
840,10,164.36
510,151,3485.06
2753,3,44.12
2756,14,136.15
847,42,706.13
2460,2,22.96
250,108,2195.00
2874,4,159.07
381,2,19.78
829,39,926.37
425,12,191.85
1924,2,103.84
1093,18,232.98
220,245,3927.88
275,152,1183.70
1644,5,116.17
2220,1,13.13
175,134,1635.13
2126,11,114.95
2822,6,68.21
1007,1,28.50
1415,23,337.86
1753,2,14.03
344,110,1813.67
525,50,625.19
1221,119,1382.46
1720,1,7.90
334,26,340.23
873,5,43.07
2189,2,11.41
870,7,120.52
1866,66,2167.69
2358,5,105.63
2573,3,102.81
1704,1,12.99
608,8,119.12
1043,133,587.74
2854,4,35.68
387,11,180.79
1442,63,1342.22
258,112,1655.24
2934,1,14.10
2651,2,175.31
2626,3,53.89
344,3,34.34
2084,12,127.46
1601,35,645.46
2359,4,150.22
2755,4,43.30
2483,2,56.63
380,8,85.00
804,4,27.38
777,5,92.56
1559,12,384.46
177,1,23.59
2696,2,134.92
2539,1,21.25
1323,14,174.93
865,2,41.09
196,37,397.04
2491,5,134.91
2330,1,49.99
1993,5,245.89
1589,2,34.22
2850,7,44.24
1683,1,33.13
507,50,514.34
879,4,56.47
1382,68,465.98
355,14,91.17
1366,5,24.01
844,6,89.70
337,28,355.80
277,12,143.55
2456,1,34.95
2267,3,62.13
1639,7,233.45
2798,3,498.17
505,52,1546.27
628,3,192.76
609,24,345.45
1314,14,132.24
953,2,77.58
628,76,584.33
2635,3,63.87
204,449,7376.37
689,43,539.30
1770,1,41.63
2685,1,71.21
2722,7,187.07
541,31,460.20
2747,5,73.62
376,48,750.39
433,4,33.84
1379,16,204.59
1014,26,173.30
818,1,10.28
2585,1,5.82
589,6,132.98
1246,5,88.40
2054,6,106.61
1679,2,4.32
1050,6,77.38
385,26,242.97
1598,5,170.27
1980,7,121.78
2695,7,118.12
292,32,218.07
453,123,561.51
846,152,2240.34
1988,6,164.27
2259,8,73.73
2822,2,51.77
2595,1,46.20
853,5,98.16
1659,5,19.31
1286,7,97.60
1876,1,11.36
508,40,413.96
2693,1,112.86
570,2,35.05
2855,5,46.91
1139,1,20.19
1632,4,74.55
1330,5,34.40
1330,2,28.37
804,18,219.51
2359,16,121.49
877,15,223.02
2352,2,102.26
204,130,944.58
388,9,90.04
296,7,38.23
693,15,216.43
1110,6,84.82
2292,13,388.26
2266,1,85.42
2494,3,48.53
2009,2,45.66
2701,16,90.72
858,14,311.19
855,34,448.45
1685,3,31.46
473,24,420.36
461,4,47.90
2455,4,65.80
190,33,362.92
2931,2,41.72
490,5,63.80
392,1,5.38
2430,2,169.15
1644,2,7.34
177,9,203.91
988,9,135.27
791,8,51.08
886,8,121.72
508,1,29.15
440,8,57.77
2718,1,195.42
1281,4,252.11
1041,4,62.63
781,15,75.15
1599,3,163.41
2930,8,48.75
1952,5,171.31
438,28,449.41
1023,23,221.78
2318,5,72.16
749,2,41.77
1280,1,14.88
1453,62,595.97
1450,3,107.91
331,137,1446.99
2529,5,87.75
213,37,573.34
293,330,5419.41
2015,4,46.45
204,7,133.76
2349,2,49.51
1469,72,1132.47
2769,2,35.34
1451,9,34.13
229,7,71.47
2387,4,34.49
234,25,333.04
2018,4,14.95
1210,1,7.88
2177,20,552.91
783,7,151.30
1764,16,113.29
178,54,826.26
315,47,866.45
445,18,151.92
2935,4,50.53
269,183,1735.37
1054,7,145.12
2091,1,21.63
454,30,179.82
318,104,2080.82
2247,6,71.32
992,15,145.88
1963,16,248.17
938,4,58.08
338,1,16.66
553,3,101.42
416,17,427.30
197,13,120.00
176,25,262.96
1479,1,33.52
1155,20,250.39
1565,22,162.52
500,42,959.17
2537,11,166.54
1626,29,316.13
2282,4,83.69
1539,12,312.49
1414,144,1824.10
629,2,7.95
1861,4,157.49
632,11,211.81
849,4,50.46
2784,5,317.61
2200,1,141.63
2323,1,41.66
1550,5,159.31
2198,1,29.96
523,1,32.96
998,1,57.83
1984,2,54.93
2734,2,46.43
440,25,300.84
242,4,49.38
2717,1,74.96
384,338,3677.23
1332,4,22.91
1168,2,39.61
1772,1,31.47
430,11,135.25
1304,7,84.99
2001,5,34.74
2335,4,62.42
1086,10,219.57
2334,3,56.22
284,4,118.27
2475,27,209.01
1200,6,50.75
2672,1,27.41
436,45,415.79
906,4,24.04
1243,4,20.04
2009,6,47.36
1010,18,240.60
453,15,245.70
2807,6,33.62
2315,2,90.94
916,5,80.44
2595,3,101.22
282,41,525.99
1735,20,109.36
2321,2,66.65
1193,45,446.21
635,6,28.86
1704,11,249.88
1067,5,107.19
1733,7,31.54
1223,3,118.08
2564,9,106.00
1403,5,24.13
1933,5,43.59
1754,19,381.64
372,102,624.40
2190,9,89.67
360,20,282.65
990,1,9.50
451,1,24.13
2667,11,140.20
250,11,119.60
1159,37,731.40
983,1,6.16
687,9,74.53
816,3,30.99
684,192,6318.06
2022,65,864.79
172,8,79.64
1317,25,236.80
1048,12,81.15
2361,5,54.30
273,9,270.39
923,24,611.30
1989,4,159.04
2863,2,23.77
545,11,263.38
1095,1,18.81
1731,5,19.03
2850,6,72.40
1598,2,100.16
1213,2,15.21
1883,5,95.56
1698,13,116.26
1919,8,35.39
