recency,frequency,monetary,variety
2040,3,65.76,3
178,10,101.33,6
768,1,31.50,1
548,5,92.33,5
1550,47,685.88,43
2718,3,45.77,2
181,998,4931.25,304
2433,1,9.59,1
1721,6,167.36,6
353,12,356.01,12
1592,35,532.81,32
2292,6,114.42,6
1904,4,26.74,4
860,8,108.65,8
2651,3,73.07,3
252,26,237.28,24
2688,9,90.32,9
2332,2,112.42,2
478,37,248.15,27
1292,11,105.03,11
1371,38,202.56,36
397,7,41.66,6
508,75,1071.74,73
2529,10,87.61,7
814,6,-7.28,6
821,8,86.95,8
2567,34,475.17,27
2296,1,41.92,1
1903,2,31.45,2
693,26,291.49,25
762,9,247.83,7
2670,6,248.51,6
630,4,56.83,4
2756,2,27.23,2
2284,9,93.90,9
2721,2,44.30,2
1560,10,114.97,9
597,7,49.42,6
2741,11,106.86,11
886,7,72.79,6
500,18,520.96,14
1989,1,140.18,1
2718,3,139.18,3
1697,7,155.86,6
2744,11,403.85,11
594,6,33.30,6
1835,5,23.38,5
1619,35,348.90,27
2685,1,65.25,1
179,97,1428.18,78
775,7,93.55,7
634,1,7.09,1
2870,1,49.79,1
2905,4,90.27,4
2272,10,142.91,10
1365,5,136.15,5
173,9,227.25,9
390,62,506.86,45
2171,7,101.69,7
858,7,106.63,7
2858,4,115.50,4
2118,2,88.90,2
208,34,463.32,31
2337,1,54.92,1
1580,31,460.21,17
2841,1,24.58,1
2721,1,49.92,1
217,128,747.01,100
2255,5,189.93,5
415,24,466.47,18
951,31,255.26,23
1114,2,18.39,2
2618,4,73.39,4
1751,4,16.63,3
1725,11,272.73,10
2550,5,97.67,5
1746,2,17.74,2
200,13,190.05,13
1806,11,143.36,8
207,22,302.24,16
255,70,642.54,48
2486,21,256.42,16
1677,10,209.50,10
2206,5,159.35,5
299,81,1245.32,68
1608,1,19.93,1
718,2,50.37,2
1914,1,11.36,1
344,8,90.51,4
1653,204,2127.77,111
2294,3,62.45,3
2649,3,86.19,2
177,25,258.71,25
433,63,784.67,57
450,87,929.15,74
809,1,17.38,1
290,7,62.21,7
2842,1,19.95,1
1635,1,4.70,1
1151,19,398.65,15
2814,1,17.22,1
2068,5,110.38,5
1592,1,15.68,1
2850,1,24.98,1
2857,5,43.29,5
2900,1,20.75,1
487,35,575.74,23
