recency,frequency,monetary,variety
1966,0.013245033,73.12,2
2491,0.006622516,21.65,1
343,0.139072847,120.51,19
324,0.039735099,103.98,6
2464,0.066225165,83.14,8
350,0.046357615,67.49,7
1280,0.059602649,132.58,8
2420,0.039735099,164.80,6
1390,0.120000000,217.36,18
1447,0.080000000,163.97,11
1626,0.100000000,219.50,15
928,0.080000000,110.49,8
1221,0.040000000,141.27,6
774,0.100000000,115.05,14
1682,0.266666666,556.30,32
1913,0.006666666,9.99,1
1693,0.026666666,56.82,4
2199,0.013333333,24.92,1
1088,0.040000000,15.33,5
2596,0.020000000,56.82,3
1175,0.040000000,139.96,6
1933,0.066666666,318.99,10
2786,0.006666666,49.96,1
354,0.226666666,489.63,32
2331,0.126666666,222.05,17
2828,0.013333333,37.83,2
781,0.013333333,11.19,2
1723,0.053333333,24.32,6
284,0.126666666,139.27,19
1964,0.006666666,62.50,1
815,0.173333333,237.86,24
2444,0.006666666,24.99,1
1354,0.073333333,208.35,11
1620,0.046666666,140.65,6
2523,0.006666666,16.66,1
1298,0.120000000,141.74,13
475,0.320000000,704.45,44
2040,0.020000000,65.76,3
178,0.066666666,101.33,6
768,0.006666666,31.50,1
548,0.033333333,92.33,5
1550,0.313333333,685.88,43
2718,0.020000000,45.77,2
181,6.653333333,4931.25,304
2433,0.006666666,9.59,1
1721,0.040000000,167.36,6
353,0.080000000,356.01,12
1592,0.233333333,532.81,32
2292,0.040000000,114.42,6
1904,0.026666666,26.74,4
860,0.053333333,108.65,8
2651,0.020000000,73.07,3
252,0.173333333,237.28,24
2688,0.060000000,90.32,9
2332,0.013333333,112.42,2
478,0.246666666,248.15,27
1292,0.073333333,105.03,11
1371,0.253333333,202.56,36
397,0.046666666,41.66,6
508,0.500000000,1071.74,73
2529,0.066666666,87.61,7
814,0.040000000,-7.28,6
821,0.053333333,86.95,8
2567,0.226666666,475.17,27
2296,0.006666666,41.92,1
1903,0.013333333,31.45,2
693,0.173333333,291.49,25
762,0.060000000,247.83,7
2670,0.040000000,248.51,6
630,0.026666666,56.83,4
2756,0.013333333,27.23,2
2284,0.060000000,93.90,9
2721,0.013333333,44.30,2
1560,0.066666666,114.97,9
597,0.046666666,49.42,6
2741,0.073333333,106.86,11
886,0.046666666,72.79,6
500,0.120000000,520.96,14
1989,0.006666666,140.18,1
2718,0.020000000,139.18,3
1697,0.046666666,155.86,6
2744,0.073333333,403.85,11
