recency,frequency,monetary,clusters
2551,3,45.77,0
14,998,4931.25,0
2266,1,9.59,1
1554,6,167.36,0
186,12,356.01,0
1425,35,532.81,0
2125,6,114.42,0
1737,4,26.74,0
693,8,108.65,0
2484,3,73.07,0
85,26,237.28,0
2521,9,90.32,0
2165,2,112.42,0
311,37,248.15,0
1125,11,105.03,0
1204,38,202.56,0
230,7,41.66,0
341,75,1071.74,0
2362,10,87.61,0
654,8,86.95,0
2400,34,475.17,0
2129,1,41.92,1
1736,2,31.45,0
526,26,291.49,0
595,9,247.83,0
2503,6,248.51,0
463,4,56.83,0
2589,2,27.23,0
2117,9,93.9,0
2554,2,44.3,0
1393,10,114.97,0
430,7,49.42,0
2574,11,106.86,0
719,7,72.79,0
333,18,520.96,0
1822,1,140.18,1
2551,3,139.18,0
1530,7,155.86,0
2577,11,403.85,0
427,6,33.3,0
1668,5,23.38,0
1452,35,348.9,0
2518,1,65.25,1
12,97,1428.18,0
608,7,93.55,0
467,1,7.09,1
2703,1,49.79,1
2738,4,90.27,0
2105,10,142.91,0
1198,5,136.15,0
6,9,227.25,0
223,62,506.86,0
2004,7,101.69,0
691,7,106.63,0
2691,4,115.5,0
1951,2,88.9,0
41,34,463.32,0
2170,1,54.92,1
1413,31,460.21,0
2674,1,24.58,1
2554,1,49.92,1
50,128,747.01,0
2088,5,189.93,0
248,24,466.47,0
784,31,255.26,0
947,2,18.39,0
2451,4,73.39,0
1584,4,16.63,0
1558,11,272.73,0
2383,5,97.67,0
1579,2,17.74,0
33,13,190.05,0
1639,11,143.36,0
40,22,302.24,0
88,70,642.54,0
2319,21,256.42,0
1510,10,209.5,0
2039,5,159.35,0
132,81,1245.32,0
1441,1,19.93,1
551,2,50.37,0
1747,1,11.36,1
177,8,90.51,0
1486,204,2127.77,0
2127,3,62.45,0
2482,3,86.19,0
10,25,258.71,0
266,63,784.67,0
283,87,929.15,0
642,1,17.38,1
187,2,13.25,0
187,2,10.62,0
123,7,62.21,0
2675,1,19.95,1
1468,1,4.7,1
984,19,398.65,0
2647,1,17.22,1
1901,5,110.38,0
1425,1,15.68,1
2683,1,24.98,1
2690,5,43.29,0
2733,1,20.75,1
320,35,575.74,0
1334,8,224.88,0
142,10,566.31,0
1792,15,166.72,0
260,27,241.33,0
1582,9,85.57,0
2340,2,94.5,0
1953,6,53.12,0
449,12,61.95,0
707,2,7.58,0
342,21,194.85,0
1328,24,264.87,0
2268,3,82.7,0
1056,7,67.14,0
333,40,248.55,0
1688,9,46.01,0
1327,14,101.9,0
400,12,227.39,0
488,16,45.58,0
673,10,164.36,0
343,151,3485.06,0
2586,3,44.12,0
2589,14,136.15,0
680,42,706.13,0
2293,2,22.96,0
83,108,2195.0,0
2707,4,159.07,0
214,2,19.78,0
662,39,926.37,0
258,12,191.85,0
1757,2,103.84,0
926,18,232.98,0
53,245,3927.88,0
108,152,1183.7,0
1477,5,116.17,0
2053,1,13.13,1
8,134,1635.13,0
1959,11,114.95,0
2655,6,68.21,0
840,1,28.5,1
1248,23,337.86,0
1586,2,14.03,0
177,110,1813.67,0
358,50,625.19,0
1054,119,1382.46,0
1553,1,7.9,1
167,26,340.23,0
706,5,43.07,0
2022,2,11.41,0
703,7,120.52,0
1699,66,2167.69,0
2191,5,105.63,0
2406,3,102.81,0
1537,1,12.99,1
441,8,119.12,0
876,133,587.74,0
2687,4,35.68,0
220,11,180.79,0
1275,63,1342.22,0
91,112,1655.24,0
2767,1,14.1,1
2484,2,175.31,0
2459,3,53.89,0
177,3,34.34,0
1917,12,127.46,0
1434,35,645.46,0
2192,4,150.22,0
2588,4,43.3,0
2316,2,56.63,0
213,8,85.0,0
637,4,27.38,0
610,5,92.56,0
1392,12,384.46,0
10,1,23.59,1
2529,2,134.92,0
2372,1,21.25,1
1156,14,174.93,0
698,2,41.09,0
29,37,397.04,0
2324,5,134.91,0
2163,1,49.99,1
1826,5,245.89,0
1422,2,34.22,0
2683,7,44.24,0
1516,1,33.13,1
340,50,514.34,0
712,4,56.47,0
1215,68,465.98,0
188,14,91.17,0
1199,5,24.01,0
677,6,89.7,0
170,28,355.8,0
110,12,143.55,0
2289,1,34.95,1
2100,3,62.13,0
1472,7,233.45,0
2631,3,498.17,0
338,52,1546.27,0
461,3,192.76,0
442,24,345.45,0
1147,14,132.24,0
786,2,77.58,0
461,76,584.33,0
2468,3,63.87,0
37,449,7376.37,0
522,43,539.3,0
1603,1,41.63,1
2518,1,71.21,1
2555,7,187.07,0
374,31,460.2,0
2580,5,73.62,0
209,48,750.39,0
266,4,33.84,0
1212,16,204.59,0
847,26,173.3,0
651,1,10.28,1
2418,1,5.82,1
422,6,132.98,0
1079,5,88.4,0
1887,6,106.61,0
1512,2,4.32,0
883,6,77.38,0
218,26,242.97,0
1431,5,170.27,0
1813,7,121.78,0
2528,7,118.12,0
125,32,218.07,0
286,123,561.51,0
679,152,2240.34,0
1821,6,164.27,0
2092,8,73.73,0
2655,2,51.77,0
2428,1,46.2,1
686,5,98.16,0
1492,5,19.31,0
1119,7,97.6,0
1709,1,11.36,1
341,40,413.96,0
2526,1,112.86,1
403,2,35.05,0
2688,5,46.91,0
972,1,20.19,1
1465,4,74.55,0
1163,5,34.4,0
1163,2,28.37,0
637,18,219.51,0
2192,16,121.49,0
710,15,223.02,0
2185,2,102.26,0
37,130,944.58,0
221,9,90.04,0
129,7,38.23,0
526,15,216.43,0
943,6,84.82,0
2125,13,388.26,0
2099,1,85.42,1
2327,3,48.53,0
1842,2,45.66,0
2534,16,90.72,0
691,14,311.19,0
688,34,448.45,0
1518,3,31.46,0
306,24,420.36,0
294,4,47.9,0
2288,4,65.8,0
23,33,362.92,0
2764,2,41.72,0
323,5,63.8,0
225,1,5.38,1
2263,2,169.15,0
1477,2,7.34,0
10,9,203.91,0
821,9,135.27,0
624,8,51.08,0
719,8,121.72,0
341,1,29.15,1
273,8,57.77,0
2551,1,195.42,1
1114,4,252.11,0
874,4,62.63,0
614,15,75.15,0
1432,3,163.41,0
2763,8,48.75,0
1785,5,171.31,0
271,28,449.41,0
856,23,221.78,0
2151,5,72.16,0
582,2,41.77,0
1113,1,14.88,1
1286,62,595.97,0
1283,3,107.91,0
164,137,1446.99,0
2362,5,87.75,0
46,37,573.34,0
126,330,5419.41,0
1848,4,46.45,0
37,7,133.76,0
2182,2,49.51,0
1302,72,1132.47,0
2602,2,35.34,0
1284,9,34.13,0
62,7,71.47,0
2220,4,34.49,0
67,25,333.04,0
1851,4,14.95,0
1043,1,7.88,1
2010,20,552.91,0
616,7,151.3,0
1597,16,113.29,0
11,54,826.26,0
148,47,866.45,0
278,18,151.92,0
2768,4,50.53,0
102,183,1735.37,0
887,7,145.12,0
1924,1,21.63,1
287,30,179.82,0
151,104,2080.82,0
2080,6,71.32,0
825,15,145.88,0
1796,16,248.17,0
771,4,58.08,0
171,1,16.66,1
386,3,101.42,0
249,17,427.3,0
30,13,120.0,0
9,25,262.96,0
1312,1,33.52,1
988,20,250.39,0
1398,22,162.52,0
333,42,959.17,0
2370,11,166.54,0
1459,29,316.13,0
2115,4,83.69,0
1372,12,312.49,0
1247,144,1824.1,0
462,2,7.95,0
1694,4,157.49,0
465,11,211.81,0
682,4,50.46,0
2617,5,317.61,0
2033,1,141.63,1
2156,1,41.66,1
1383,5,159.31,0
2031,1,29.96,1
356,1,32.96,1
831,1,57.83,1
1817,2,54.93,0
2567,2,46.43,0
273,25,300.84,0
75,4,49.38,0
2550,1,74.96,1
217,338,3677.23,0
1165,4,22.91,0
1001,2,39.61,0
1605,1,31.47,1
263,11,135.25,0
1137,7,84.99,0
1834,5,34.74,0
2168,4,62.42,0
919,10,219.57,0
2167,3,56.22,0
117,4,118.27,0
2308,27,209.01,0
1033,6,50.75,0
2505,1,27.41,1
269,45,415.79,0
739,4,24.04,0
1076,4,20.04,0
1842,6,47.36,0
843,18,240.6,0
286,15,245.7,0
2640,6,33.62,0
2148,2,90.94,0
749,5,80.44,0
2428,3,101.22,0
115,41,525.99,0
1568,20,109.36,0
2154,2,66.65,0
1026,45,446.21,0
468,6,28.86,0
1537,11,249.88,0
900,5,107.19,0
1566,7,31.54,0
1056,3,118.08,0
2397,9,106.0,0
1236,5,24.13,0
1766,5,43.59,0
1587,19,381.64,0
205,102,624.4,0
2023,9,89.67,0
193,20,282.65,0
823,1,9.5,1
284,1,24.13,1
2500,11,140.2,0
83,11,119.6,0
992,37,731.4,0
816,1,6.16,1
520,9,74.53,0
649,3,30.99,0
517,192,6318.06,0
1855,65,864.79,0
5,8,79.64,0
1150,25,236.8,0
881,12,81.15,0
2194,5,54.3,0
106,9,270.39,0
756,24,611.3,0
1822,4,159.04,0
2696,2,23.77,0
378,11,263.38,0
928,1,18.81,1
1564,5,19.03,0
2683,6,72.4,0
1431,2,100.16,0
1046,2,15.21,0
1716,5,95.56,0
1531,13,116.26,0
1752,8,35.39,0
1462,2,28.26,0
254,3,48.28,0
1134,11,125.6,0
1188,2,26.37,0
1751,14,143.11,0
1465,4,8.92,0
26,160,1165.72,0
2360,10,127.78,0
2420,5,164.84,0
150,60,631.29,0
138,82,710.54,0
2217,2,158.31,0
2396,2,67.13,0
1366,21,348.49,0
1989,3,90.02,0
1794,6,100.54,0
456,8,64.65,0
2452,1,57.5,1
1782,8,61.75,0
706,5,87.66,0
1388,2,4.68,0
257,3,44.66,0
463,76,718.57,0
52,5,28.82,0
1310,5,56.5,0
2558,9,143.16,0
1593,1,6.66,1
899,15,289.01,0
1741,2,19.63,0
2376,10,166.4,0
70,45,891.72,0
470,59,466.57,0
705,2,38.78,0
719,19,264.39,0
1284,22,140.15,0
1605,1,15.46,1
1335,1,69.29,1
939,2,28.75,0
24,29,237.34,0
982,4,68.32,0
2285,4,27.03,0
120,28,254.77,0
2149,29,285.72,0
641,2,11.9,0
2098,2,44.76,0
1467,27,261.7,0
52,3,27.59,0
746,45,544.41,0
338,3,21.91,0
1056,32,645.13,0
82,6,88.98,0
2007,51,850.01,0
1122,11,134.65,0
36,30,491.24,0
1902,2,61.18,0
922,31,613.61,0
2265,8,46.05,0
926,71,1316.42,0
1367,21,373.07,0
745,4,23.68,0
553,47,1236.31,0
2278,4,33.95,0
18,38,618.7,0
363,3,12.93,0
664,9,92.77,0
112,5,50.56,0
830,3,30.1,0
55,30,292.43,0
282,5,87.34,0
267,59,310.53,0
298,14,113.73,0
380,69,811.38,0
2124,3,57.74,0
1074,3,141.49,0
588,7,80.17,0
2010,2,42.74,0
2,229,4551.13,0
1721,11,67.98,0
1831,5,163.48,0
997,6,114.52,0
2156,8,106.72,0
1105,3,31.51,0
228,50,613.29,0
1450,1,14.27,1
1028,20,105.54,0
916,62,531.07,0
762,4,144.04,0
2555,3,33.44,0
1336,28,426.98,0
322,141,3090.29,0
315,1,28.47,1
40,1,6.65,1
469,1,27.76,1
1070,4,117.71,0
1375,48,466.57,0
1815,1,54.0,1
2461,1,23.3,1
1419,4,59.35,0
107,61,743.14,0
561,16,206.57,0
1486,7,102.68,0
