recency,frequency,monetary,variety,clusters,kmeans_cluster
1301,0.019736842,437.65,3,0,0
338,0.203947368,632.9,27,0,3
1367,0.059210526,127.79,9,0,0
2507,0.006578947,26.63,1,1,0
267,0.019736842,30.07,3,0,1
1589,0.019736842,37.89,3,0,0
2356,0.046052631,84.18,7,0,0
2680,0.032894736,111.38,5,0,0
2364,0.013157894,11.36,2,0,0
953,0.059210526,95.7,9,0,1
1418,0.072368421,195.4,10,0,0
2465,0.006578947,16.46,1,1,0
27,0.052631578,210.7,7,0,1
493,0.138157894,578.72,15,0,3
1920,0.355263157,598.42,32,0,3
400,0.177631578,173.89,23,0,1
873,0.013157894,25.65,2,0,1
2557,0.032894736,221.98,5,0,0
2740,0.006578947,191.0,1,1,0
1225,0.006578947,9.41,1,1,0
589,0.006578947,6.58,1,1,1
2327,0.013157894,18.54,2,0,0
332,0.046052631,124.07,6,0,1
1498,0.085526315,120.2,12,0,0
2573,0.046052631,250.31,6,0,0
340,0.032894736,66.59,4,0,1
331,0.322368421,553.0,36,0,3
342,0.34868421,660.81,49,0,3
457,0.046052631,65.52,7,0,1
1438,0.131578947,166.49,17,0,0
808,0.039473684,71.47,6,0,1
285,0.151315789,114.31,15,0,1
1384,0.059210526,26.03,7,0,0
2745,0.006578947,22.13,1,1,0
133,0.144736842,358.97,16,0,1
824,0.019736842,80.33,3,0,1
2144,0.013157894,62.43,2,0,0
1536,0.039473684,44.97,6,0,0
1075,0.059210526,29.51,8,0,1
376,0.006578947,25.84,1,1,1
2273,0.013157894,53.96,2,0,0
122,0.131578947,197.99,16,0,1
607,0.006622516,21.99,1,1,1
1288,0.033112582,76.9,5,0,0
1394,0.019867549,204.24,2,0,0
1934,0.013245033,87.56,2,0,0
1045,0.072847682,161.23,9,0,1
1473,0.059602649,92.72,9,0,0
2314,0.013245033,35.68,2,0,0
423,0.039735099,53.57,5,0,1
118,0.112582781,118.61,16,0,1
1275,0.013245033,28.83,2,0,0
7,0.38410596,391.15,48,0,3
18,0.145695364,242.64,19,0,1
511,0.006622516,14.98,1,1,1
1274,0.165562913,371.45,20,0,1
258,0.079470198,120.42,10,0,1
352,0.059602649,123.35,8,0,1
1887,0.033112582,25.29,4,0,0
455,0.006622516,16.24,1,1,1
2120,0.006622516,29.16,1,1,0
665,0.026490066,62.57,4,0,1
1994,0.079470198,246.6,12,0,0
2207,0.006622516,49.99,1,1,0
456,0.046357615,96.87,7,0,1
1313,0.132450331,261.06,19,0,0
2231,0.072847682,184.46,10,0,0
1657,0.099337748,584.8,11,0,0
1368,0.145695364,607.47,17,0,3
730,0.125827814,213.99,14,0,1
2322,0.092715231,165.39,14,0,0
323,0.006622516,23.97,1,1,1
1589,0.079470198,125.04,9,0,0
241,0.019867549,165.63,2,0,1
1642,0.026490066,53.7,4,0,0
1478,0.013245033,68.07,2,0,0
284,0.132450331,175.24,19,0,1
525,0.139072847,201.01,20,0,1
1789,0.013245033,40.88,1,1,0
1527,0.066225165,37.6,10,0,0
2,0.112582781,273.24,17,0,1
2606,0.006622516,31.63,1,1,0
955,0.059602649,107.9,8,0,1
361,0.046357615,73.86,7,0,1
2698,0.013245033,49.98,2,0,0
1254,0.006622516,5.97,1,1,0
1385,0.099337748,130.81,13,0,0
456,0.158940397,240.61,17,0,1
708,0.052980132,290.91,7,0,1
279,0.013245033,29.68,2,0,1
460,0.655629139,1110.89,80,0,3
2681,0.119205298,333.7,14,0,0
2040,0.052980132,136.17,8,0,0
282,0.039735099,18.08,6,0,1
378,0.158940397,397.6,23,0,3
1033,0.046357615,94.84,7,0,1
13,0.211920529,525.63,27,0,3
2324,0.079470198,194.46,12,0,0
2001,0.013245033,62.86,1,1,0
494,0.079470198,72.05,12,0,1
224,1.158940397,6121.33,46,0,2
2550,0.006622516,44.96,1,1,0
2130,0.006622516,129.0,1,1,0
1804,0.033112582,129.88,5,0,0
336,0.059602649,127.78,9,0,1
271,0.198675496,352.28,28,0,3
749,0.059602649,198.32,8,0,1
1778,0.052980132,131.17,8,0,0
1035,0.072847682,210.88,11,0,1
826,0.006622516,4.7,1,1,1
879,0.033112582,121.06,5,0,1
1913,0.039735099,50.61,6,0,0
920,0.019867549,139.68,2,0,1
335,0.013245033,30.61,2,0,1
1802,0.026490066,76.52,4,0,0
2355,0.264900662,961.65,37,0,3
2354,0.006622516,13.3,1,1,0
360,0.086092715,202.78,13,0,1
291,0.006622516,26.3,1,1,1
1359,0.046357615,44.19,7,0,0
156,0.231788079,319.21,28,0,3
1449,0.006622516,31.49,1,1,0
413,0.231788079,427.91,33,0,3
665,0.529801324,855.19,71,0,3
1107,0.013245033,86.2,2,0,1
2401,0.066225165,121.34,10,0,0
1546,0.019867549,55.83,3,0,0
2534,0.033112582,141.97,5,0,0
264,0.079470198,137.94,10,0,1
1360,0.019867549,149.17,2,0,0
809,0.331125827,717.55,36,0,3
387,0.046357615,66.75,7,0,1
2525,0.072847682,362.15,8,0,0
2439,0.006622516,3.33,1,1,0
910,0.026490066,58.76,4,0,1
1065,0.039735099,162.92,6,0,1
27,0.033112582,78.72,5,0,1
283,0.033112582,42.92,5,0,1
334,0.112582781,128.19,17,0,1
2116,0.026490066,80.82,4,0,0
1430,0.403973509,1013.62,52,0,3
2129,0.033112582,1822.13,4,0,3
2127,0.019867549,59.13,3,0,0
795,0.026490066,97.72,4,0,1
332,0.013245033,35.42,1,1,1
1075,0.132450331,359.37,19,0,1
1946,0.006622516,28.3,1,1,0
1809,0.006622516,48.0,1,1,0
40,0.218543046,283.17,22,0,1
1966,0.026490066,43.12,4,0,0
1029,0.039735099,79.34,5,0,1
466,0.013245033,32.8,2,0,1
407,0.026490066,22.32,3,0,1
1312,0.013245033,94.18,2,0,0
705,0.019867549,627.62,3,0,1
1178,0.145695364,259.77,17,0,1
2217,0.033112582,97.83,5,0,0
2710,0.039735099,124.97,5,0,0
2730,0.019867549,65.5,3,0,0
532,0.059602649,863.87,8,0,3
1799,0.013245033,73.12,2,0,0
2324,0.006622516,21.65,1,1,0
176,0.139072847,120.51,19,0,1
157,0.039735099,103.98,6,0,1
2297,0.066225165,83.14,8,0,0
183,0.046357615,67.49,7,0,1
1113,0.059602649,132.58,8,0,1
2253,0.039735099,164.8,6,0,0
1223,0.12,217.36,18,0,1
1280,0.08,163.97,11,0,0
1459,0.1,219.5,15,0,0
761,0.08,110.49,8,0,1
1054,0.04,141.27,6,0,1
607,0.1,115.05,14,0,1
1515,0.266666666,556.3,32,0,3
1746,0.006666666,9.99,1,1,0
1526,0.026666666,56.82,4,0,0
2032,0.013333333,24.92,1,1,0
921,0.04,15.33,5,0,1
2429,0.02,56.82,3,0,0
1008,0.04,139.96,6,0,1
1766,0.066666666,318.99,10,0,0
2619,0.006666666,49.96,1,1,0
187,0.226666666,489.63,32,0,3
2164,0.126666666,222.05,17,0,0
2661,0.013333333,37.83,2,0,0
614,0.013333333,11.19,2,0,1
1556,0.053333333,24.32,6,0,0
117,0.126666666,139.27,19,0,1
1797,0.006666666,62.5,1,1,0
648,0.173333333,237.86,24,0,1
2277,0.006666666,24.99,1,1,0
1187,0.073333333,208.35,11,0,1
1453,0.046666666,140.65,6,0,0
2356,0.006666666,16.66,1,1,0
1131,0.12,141.74,13,0,1
308,0.32,704.45,44,0,3
1873,0.02,65.76,3,0,0
11,0.066666666,101.33,6,0,1
601,0.006666666,31.5,1,1,1
381,0.033333333,92.33,5,0,1
1383,0.313333333,685.88,43,0,3
2551,0.02,45.77,2,0,0
14,6.653333333,4931.25,304,0,2
2266,0.006666666,9.59,1,1,0
1554,0.04,167.36,6,0,0
186,0.08,356.01,12,0,1
1425,0.233333333,532.81,32,0,3
2125,0.04,114.42,6,0,0
1737,0.026666666,26.74,4,0,0
693,0.053333333,108.65,8,0,1
2484,0.02,73.07,3,0,0
85,0.173333333,237.28,24,0,1
2521,0.06,90.32,9,0,0
2165,0.013333333,112.42,2,0,0
311,0.246666666,248.15,27,0,3
1125,0.073333333,105.03,11,0,1
1204,0.253333333,202.56,36,0,3
230,0.046666666,41.66,6,0,1
341,0.5,1071.74,73,0,3
2362,0.066666666,87.61,7,0,0
654,0.053333333,86.95,8,0,1
2400,0.226666666,475.17,27,0,3
2129,0.006666666,41.92,1,1,0
1736,0.013333333,31.45,2,0,0
526,0.173333333,291.49,25,0,3
595,0.06,247.83,7,0,1
2503,0.04,248.51,6,0,0
463,0.026666666,56.83,4,0,1
2589,0.013333333,27.23,2,0,0
2117,0.06,93.9,9,0,0
2554,0.013333333,44.3,2,0,0
1393,0.066666666,114.97,9,0,0
430,0.046666666,49.42,6,0,1
2574,0.073333333,106.86,11,0,0
719,0.046666666,72.79,6,0,1
333,0.12,520.96,14,0,1
1822,0.006666666,140.18,1,1,0
2551,0.02,139.18,3,0,0
1530,0.046666666,155.86,6,0,0
2577,0.073333333,403.85,11,0,0
427,0.04,33.3,6,0,1
1668,0.033333333,23.38,5,0,0
1452,0.233333333,348.9,27,0,3
2518,0.006666666,65.25,1,1,0
12,0.646666666,1428.18,78,0,3
608,0.046666666,93.55,7,0,1
467,0.006666666,7.09,1,1,1
2703,0.006666666,49.79,1,1,0
2738,0.026666666,90.27,4,0,0
2105,0.066666666,142.91,10,0,0
1198,0.033333333,136.15,5,0,1
6,0.06,227.25,9,0,1
223,0.413333333,506.86,45,0,3
2004,0.046666666,101.69,7,0,0
691,0.046666666,106.63,7,0,1
2691,0.026666666,115.5,4,0,0
1951,0.013333333,88.9,2,0,0
41,0.226666666,463.32,31,0,3
2170,0.006666666,54.92,1,1,0
1413,0.206666666,460.21,17,0,0
2674,0.006666666,24.58,1,1,0
2554,0.006666666,49.92,1,1,0
50,0.853333333,747.01,100,0,3
2088,0.033333333,189.93,5,0,0
248,0.16,466.47,18,0,3
784,0.206666666,255.26,23,0,1
947,0.013333333,18.39,2,0,1
2451,0.026666666,73.39,4,0,0
1584,0.026666666,16.63,3,0,0
1558,0.073333333,272.73,10,0,0
2383,0.033333333,97.67,5,0,0
1579,0.013333333,17.74,2,0,0
33,0.086666666,190.05,13,0,1
1639,0.073333333,143.36,8,0,0
40,0.146666666,302.24,16,0,1
88,0.466666666,642.54,48,0,3
2319,0.14,256.42,16,0,0
1510,0.066666666,209.5,10,0,0
2039,0.033333333,159.35,5,0,0
132,0.54,1245.32,68,0,3
1441,0.006666666,19.93,1,1,0
551,0.013333333,50.37,2,0,1
1747,0.006666666,11.36,1,1,0
177,0.053333333,90.51,4,0,1
1486,1.36,2127.77,111,0,2
2127,0.02,62.45,3,0,0
2482,0.02,86.19,2,0,0
10,0.166666666,258.71,25,0,1
266,0.42,784.67,57,0,3
283,0.58,929.15,74,0,3
642,0.006666666,17.38,1,1,1
123,0.046666666,62.21,7,0,1
2675,0.006666666,19.95,1,1,0
1468,0.006666666,4.7,1,1,0
984,0.126666666,398.65,15,0,1
2647,0.006666666,17.22,1,1,0
1901,0.033333333,110.38,5,0,0
1425,0.006666666,15.68,1,1,0
2683,0.006666666,24.98,1,1,0
2690,0.033333333,43.29,5,0,0
2733,0.006666666,20.75,1,1,0
320,0.233333333,575.74,23,0,3
1334,0.053333333,224.88,8,0,0
142,0.066666666,566.31,8,0,1
1792,0.1,166.72,13,0,0
260,0.18,241.33,18,0,1
1582,0.06,85.57,9,0,0
2340,0.013333333,94.5,2,0,0
1953,0.04,53.12,6,0,0
449,0.08,61.95,11,0,1
707,0.013333333,7.58,1,1,1
342,0.14,194.85,19,0,1
1328,0.16,264.87,18,0,0
2268,0.02,82.7,3,0,0
1056,0.046666666,67.14,7,0,1
333,0.266666666,248.55,32,0,3
1688,0.06,46.01,6,0,0
1327,0.093333333,101.9,13,0,0
400,0.08,227.39,11,0,1
488,0.106666666,45.58,15,0,1
673,0.066666666,164.36,10,0,1
343,1.006666666,3485.06,108,0,2
2586,0.02,44.12,3,0,0
2589,0.093333333,136.15,9,0,0
680,0.28,706.13,36,0,3
2293,0.013333333,22.96,1,1,0
83,0.72,2195.0,74,0,2
2707,0.026666666,159.07,3,0,0
214,0.013333333,19.78,2,0,1
662,0.26,926.37,37,0,3
258,0.08,191.85,12,0,1
1757,0.013333333,103.84,2,0,0
926,0.12,232.98,15,0,1
53,1.633333333,3927.88,167,0,2
108,1.020134228,1183.7,116,0,2
1477,0.033557046,116.17,5,0,0
2053,0.006711409,13.13,1,1,0
8,0.899328859,1635.13,93,0,2
1959,0.073825503,114.95,11,0,0
2655,0.040268456,68.21,6,0,0
840,0.006711409,28.5,1,1,1
1248,0.154362416,337.86,22,0,1
1586,0.013422818,14.03,2,0,0
177,0.738255033,1813.67,97,0,2
358,0.335570469,625.19,45,0,3
1054,0.798657718,1382.46,70,0,3
1553,0.006711409,7.9,1,1,0
167,0.174496644,340.23,24,0,3
706,0.033557046,43.07,5,0,1
2022,0.013422818,11.41,2,0,0
703,0.046979865,120.52,7,0,1
1699,0.44295302,2167.69,53,0,3
2191,0.033557046,105.63,5,0,0
2406,0.020134228,102.81,3,0,0
1537,0.006711409,12.99,1,1,0
441,0.053691275,119.12,8,0,1
876,0.892617449,587.74,91,0,3
2687,0.026845637,35.68,4,0,0
