recency,frequency,monetary,variety,kmeans_cluster
2489,14,165.39,14,1
490,1,23.97,1,0
1756,12,125.04,9,1
408,3,165.63,2,0
1809,4,53.7,4,1
1645,2,68.07,2,1
451,20,175.24,19,0
692,21,201.01,20,0
1956,2,40.88,1,1
1694,10,37.6,10,1
169,17,273.24,17,0
2773,1,31.63,1,1
1122,9,107.9,8,0
528,7,73.86,7,0
2865,2,49.98,2,1
1421,1,5.97,1,1
1552,15,130.81,13,1
623,24,240.61,17,0
875,8,290.91,7,0
446,2,29.68,2,0
627,99,1110.89,80,3
2848,18,333.7,14,1
2207,8,136.17,8,1
449,6,18.08,6,0
545,24,397.6,23,3
1200,7,94.84,7,0
180,32,525.63,27,3
2491,12,194.46,12,1
2168,2,62.86,1,1
661,12,72.05,12,0
391,175,6121.33,46,2
2717,1,44.96,1,1
2297,1,129.0,1,1
1971,5,129.88,5,1
503,9,127.78,9,0
438,30,352.28,28,3
916,9,198.32,8,0
1945,8,131.17,8,1
1202,11,210.88,11,0
993,1,4.7,1,0
1046,5,121.06,5,0
2080,6,50.61,6,1
1087,3,139.68,2,0
502,2,30.61,2,0
1969,4,76.52,4,1
2522,40,961.65,37,3
2521,1,13.3,1,1
527,13,202.78,13,0
458,1,26.3,1,0
1526,7,44.19,7,1
323,35,319.21,28,3
1616,1,31.49,1,1
580,35,427.91,33,3
832,80,855.19,71,3
1274,2,86.2,2,0
2568,10,121.34,10,1
1713,3,55.83,3,1
2701,5,141.97,5,1
431,12,137.94,10,0
1527,3,149.17,2,1
976,50,717.55,36,3
554,7,66.75,7,0
2692,11,362.15,8,1
2606,1,3.33,1,1
1077,4,58.76,4,0
1232,6,162.92,6,0
194,5,78.72,5,0
450,5,42.92,5,0
501,17,128.19,17,0
2283,4,80.82,4,1
1597,61,1013.62,52,3
2296,5,1822.13,4,3
2294,3,59.13,3,1
962,4,97.72,4,0
499,2,35.42,1,0
1242,20,359.37,19,0
2113,1,28.3,1,1
1976,1,48.0,1,1
207,33,283.17,22,3
2133,4,43.12,4,1
1196,6,79.34,5,0
633,2,32.8,2,0
574,4,22.32,3,0
1479,2,94.18,2,1
872,3,627.62,3,0
1345,22,259.77,17,0
2384,5,97.83,5,1
2877,6,124.97,5,1
2897,3,65.5,3,1
699,9,863.87,8,0
1966,2,73.12,2,1
2491,1,21.65,1,1
343,21,120.51,19,0
324,6,103.98,6,0
2464,10,83.14,8,1
350,7,67.49,7,0
1280,9,132.58,8,0
2420,6,164.8,6,1
1390,18,217.36,18,0
1447,12,163.97,11,1
1626,15,219.5,15,1
928,12,110.49,8,0
1221,6,141.27,6,0
774,15,115.05,14,0
1682,40,556.3,32,3
1913,1,9.99,1,1
1693,4,56.82,4,1
2199,2,24.92,1,1
1088,6,15.33,5,0
2596,3,56.82,3,1
1175,6,139.96,6,0
1933,10,318.99,10,1
2786,1,49.96,1,1
354,34,489.63,32,3
2331,19,222.05,17,1
2828,2,37.83,2,1
781,2,11.19,2,0
1723,8,24.32,6,1
284,19,139.27,19,0
1964,1,62.5,1,1
815,26,237.86,24,3
2444,1,24.99,1,1
1354,11,208.35,11,0
1620,7,140.65,6,1
2523,1,16.66,1,1
1298,18,141.74,13,0
475,48,704.45,44,3
2040,3,65.76,3,1
178,10,101.33,6,0
768,1,31.5,1,0
548,5,92.33,5,0
1550,47,685.88,43,3
2718,3,45.77,2,1
181,998,4931.25,304,2
2433,1,9.59,1,1
1721,6,167.36,6,1
353,12,356.01,12,0
1592,35,532.81,32,3
2292,6,114.42,6,1
1904,4,26.74,4,1
860,8,108.65,8,0
2651,3,73.07,3,1
252,26,237.28,24,0
2688,9,90.32,9,1
2332,2,112.42,2,1
478,37,248.15,27,3
1292,11,105.03,11,0
1371,38,202.56,36,3
397,7,41.66,6,0
508,75,1071.74,73,3
