recency,frequency,monetary,variety,kmeans_cluster
396,3,109.12,3,0
1850,1,88.67,1,1
180,10,116.11,9,0
805,8,88.69,6,0
1289,4,35.38,4,0
1135,3,19.8,3,0
872,21,92.77,20,0
638,2,20.93,2,0
1850,2,74.29,2,1
1122,3,40.19,3,0
1325,3,27.29,3,0
1850,2,23.15,2,1
531,15,177.63,14,0
608,10,168.14,9,0
1828,2,130.66,1,1
575,11,96.61,11,0
1011,3,25.97,3,0
1536,1,4.17,1,1
1270,8,43.92,7,0
1473,3,29.89,2,1
1654,15,46.57,12,1
972,72,362.28,64,3
1850,1,11.36,1,1
1850,4,33.21,3,1
1834,1,12.89,1,1
432,6,165.16,6,0
1850,1,26.66,1,1
1850,3,22.79,3,1
1850,6,35.21,5,1
1850,2,37.98,2,1
1849,4,45.14,4,1
1753,1,18.96,1,1
1850,1,4.11,1,1
1850,2,19.81,2,1
1850,1,16.26,1,1
1850,9,41.95,9,1
1850,2,9.66,2,1
1850,1,11.36,1,1
1845,2,25.16,2,1
1849,1,6.33,1,1
1849,1,9.47,1,1
1813,5,56.71,5,1
1849,3,18.79,2,1
1849,2,23.18,1,1
414,12,62.98,10,0
1849,1,12.98,1,1
225,104,1287.9,85,3
1849,3,44.28,2,1
1436,2,21.53,2,1
1848,1,33.13,1,1
622,5,52.75,5,0
1849,1,28.27,1,1
1849,3,47.54,3,1
1540,13,85.56,13,1
1849,1,5.29,1,1
235,11,116.11,11,0
1687,4,9.12,4,1
1849,1,37.94,1,1
743,12,75.83,12,0
1848,2,11.77,2,1
373,49,493.28,41,3
1849,1,25.19,1,1
1849,3,24.65,3,1
1849,1,10.79,1,1
436,30,181.75,25,3
1849,2,17.85,2,1
1269,18,117.73,17,0
1849,2,6.95,2,1
1526,4,33.04,3,1
1015,2,40.27,2,0
1849,5,40.51,5,1
1848,1,14.9,1,1
1848,1,62.87,1,1
835,3,92.44,2,0
1848,1,8.72,1,1
1848,1,27.4,1,1
1848,1,28.24,1,1
1544,4,29.36,4,1
517,22,371.21,21,0
1848,1,13.72,1,1
1660,4,22.72,4,1
1121,1,11.41,1,0
662,69,265.53,56,3
1848,1,25.19,1,1
169,5,43.07,5,0
1286,2,28.99,2,0
707,1,150.25,1,0
1640,3,31.22,3,1
953,5,15.12,5,0
1848,1,67.52,1,1
1800,3,16.84,2,1
1848,3,51.56,1,1
615,5,37.0,4,0
1560,1,9.5,1,1
863,17,192.02,14,0
1848,8,52.19,8,1
656,3,28.1,3,0
1848,1,27.06,1,1
1846,5,30.44,5,1
1199,8,118.46,5,0
1263,1,10.39,1,0
660,25,373.2,24,3
1847,1,17.9,1,1
1848,2,6.16,1,1
1227,2,31.6,2,0
1848,1,37.94,1,1
1847,4,25.98,3,1
1847,4,29.36,4,1
1144,1,10.81,1,0
434,4,37.87,3,0
1753,8,58.29,8,1
857,1,17.38,1,0
1847,1,28.27,1,1
1847,1,16.15,1,1
386,10,56.21,9,0
870,25,75.0,24,0
1847,1,6.45,1,1
1847,1,11.13,1,1
1847,1,36.18,1,1
1847,1,67.52,1,1
1847,1,18.42,1,1
658,3,27.9,2,0
868,8,62.43,8,0
1847,6,77.76,6,1
1847,1,23.53,1,1
565,15,103.48,15,0
1847,1,14.84,1,1
1749,7,42.53,7,1
1847,1,11.85,1,1
637,19,163.72,18,0
876,4,38.66,4,0
1847,5,32.51,5,1
1635,1,9.74,1,1
1846,6,77.37,6,1
1847,1,10.68,1,1
1847,1,53.31,1,1
642,1,14.99,1,0
1847,4,49.11,3,1
1679,7,92.18,7,1
1847,8,55.91,8,1
451,2,38.39,2,0
1847,2,14.92,1,1
796,20,102.95,19,0
569,1,16.63,1,0
1834,1,6.67,1,1
1479,3,22.98,1,1
1847,2,11.19,2,1
1846,6,70.76,5,1
1243,2,15.56,2,0
1539,1,5.4,1,1
1288,9,98.55,9,0
1846,1,20.35,1,1
565,11,165.32,5,0
377,6,135.51,4,0
1846,1,25.75,1,1
1846,2,13.8,2,1
293,1,13.19,1,0
413,4,100.55,4,0
951,3,52.54,3,0
1799,12,94.87,10,1
381,2,12.24,2,0
547,1,23.74,1,0
376,12,122.12,9,0
190,3,96.83,3,0
1846,1,76.71,1,1
1843,3,98.68,3,1
1280,1,41.92,1,0
621,6,21.4,2,0
1846,2,34.92,1,1
1846,1,12.62,1,1
553,4,83.61,4,0
988,1,6.09,1,0
413,8,92.92,7,0
596,1,34.31,1,0
220,38,219.09,26,3
919,1,23.05,1,0
1585,2,14.56,2,1
1846,5,97.9,5,1
1834,1,13.38,1,1
196,15,105.48,12,0
917,17,63.54,14,0
280,10,88.76,9,0
876,5,69.3,4,0
1845,3,21.18,3,1
1681,2,64.03,2,1
1845,1,14.46,1,1
1845,2,21.7,1,1
1845,3,30.68,3,1
1657,15,89.31,15,1
615,6,65.87,6,0
1777,2,15.36,1,1
1845,5,114.23,4,1
1060,2,19.44,2,0
1845,2,22.26,1,1
1005,5,50.78,5,0
482,2,31.25,2,0
1845,1,14.99,1,1
425,2,13.88,2,0
944,1,22.5,1,0
340,18,155.23,18,0
996,4,99.86,3,0
1845,2,17.72,2,1
878,3,18.4,3,0
1845,4,27.69,4,1
1361,4,9.14,4,0
1035,9,89.16,9,0
1648,8,167.68,7,1
1845,4,6.91,4,1
1268,6,76.04,6,0
1845,1,12.43,1,1
1845,6,9.43,6,1
1845,1,26.71,1,1
1845,1,4.97,1,1
1005,1,15.03,1,0
1069,6,32.11,4,0
1193,2,20.8,2,0
993,2,15.47,2,0
1845,1,23.75,1,1
1845,1,27.51,1,1
1845,2,9.47,2,1
837,27,288.86,26,3
398,21,204.12,21,0
1845,1,26.66,1,1
328,34,263.99,30,3
1844,3,24.18,3,1
1844,1,9.97,1,1
1100,1,17.5,1,0
1500,5,16.42,5,1
1844,1,12.18,1,1
1842,3,23.86,3,1
1844,1,4.73,1,1
871,2,13.75,2,0
638,10,87.49,8,0
1844,5,31.31,5,1
1844,1,58.78,1,1
916,13,131.03,8,0
1844,1,14.81,1,1
1559,5,31.83,3,1
1844,1,8.16,1,1
1844,6,68.82,3,1
1509,3,40.99,3,1
867,16,305.9,15,0
1842,9,137.69,9,1
1844,1,16.26,1,1
1815,5,86.67,5,1
1189,5,68.2,5,0
1752,2,20.02,2,1
1172,4,36.57,4,0
1844,4,32.64,4,1
1844,2,20.66,2,1
934,3,43.29,3,0
1844,1,6.95,1,1
1844,1,18.02,1,1
1844,1,59.17,1,1
1844,1,5.22,1,1
499,24,184.06,22,0
1844,10,73.06,10,1
304,1,19.55,1,0
1840,2,32.89,2,1
499,15,136.86,15,0
279,8,98.83,7,0
1604,7,40.01,7,1
1844,6,39.57,6,1
215,14,307.6,14,0
180,14,106.96,14,0
302,1,19.03,1,0
1844,1,2.73,1,1
1702,4,38.5,2,1
876,5,56.85,4,0
1844,1,8.69,1,1
1844,1,19.34,1,1
1606,5,69.18,3,1
1844,2,58.56,1,1
1843,2,26.82,2,1
186,5,41.69,5,0
361,7,140.05,7,0
1331,1,23.77,1,0
873,3,39.2,3,0
1843,1,19.25,1,1
1809,4,18.92,2,1
1843,2,28.9,2,1
1843,2,25.89,2,1
1493,7,10.67,6,1
1843,1,6.49,1,1
273,15,140.58,8,0
832,8,75.67,8,0
1843,4,32.67,4,1
1753,2,29.15,2,1
832,3,13.21,2,0
732,3,7.36,3,0
1661,4,71.28,3,1
1843,2,12.68,2,1
1843,1,142.92,1,1
1843,1,7.68,1,1
712,2,3.5,2,0
1661,19,78.4,19,1
1843,2,8.98,2,1
1843,1,8.17,1,1
1843,6,71.09,6,1
1607,14,85.95,14,1
1843,1,36.75,1,1
1843,7,39.59,7,1
1559,11,135.22,11,1
1843,1,7.88,1,1
1328,10,59.95,9,0
1843,1,27.69,1,1
1754,4,15.05,4,1
1843,1,26.71,1,1
1617,11,65.52,9,1
1839,3,24.48,3,1
1087,2,47.52,2,0
1843,3,8.97,3,1
1843,5,29.39,5,1
1843,4,27.9,4,1
1843,1,23.53,1,1
283,8,63.35,8,0
1457,3,106.32,3,1
1843,1,10.81,1,1
1843,1,47.13,1,1
1842,4,39.09,4,1
1839,4,75.73,3,1
1843,1,9.63,1,1
1843,1,26.79,1,1
1230,14,117.76,14,0
687,1,11.85,1,0
545,6,33.26,6,0
1843,3,6.98,3,1
751,5,70.44,4,0
1842,1,9.73,1,1
1842,2,5.44,2,1
1843,1,1.93,1,1
1803,13,97.94,11,1
1095,7,114.97,7,0
1843,4,61.12,4,1
173,3,152.0,3,0
621,16,62.03,15,0
1478,8,40.96,8,1
592,6,34.82,6,0
1842,1,28.27,1,1
1842,1,11.36,1,1
1842,1,36.66,1,1
1716,1,23.75,1,1
446,2,28.2,2,0
1842,1,17.89,1,1
792,4,31.7,4,0
1842,3,21.22,3,1
1842,1,7.68,1,1
546,5,50.0,4,0
1842,1,16.32,1,1
1711,5,93.5,5,1
1842,2,29.37,2,1
1778,6,59.61,6,1
1821,2,9.96,1,1
976,6,130.14,4,0
791,6,72.59,6,0
1841,2,18.19,2,1
428,6,73.02,6,0
882,22,169.69,20,0
1842,1,27.96,1,1
1105,4,49.53,4,0
1541,3,56.86,3,1
1560,3,50.18,3,1
757,10,76.09,10,0
1833,2,49.02,1,1
1842,1,27.69,1,1
676,4,44.66,4,0
1842,2,44.16,2,1
1607,16,103.36,14,1
1842,1,13.6,1,1
1842,1,16.03,1,1
1674,11,101.82,11,1
454,73,352.49,59,3
1842,1,6.83,1,1
1641,1,6.29,1,1
1842,2,8.96,2,1
1842,1,65.33,1,1
323,19,226.78,18,0
1842,1,7.68,1,1
1403,4,80.2,4,0
1027,10,38.02,6,0
270,8,51.67,7,0
648,11,48.74,10,0
1842,1,21.13,1,1
1841,3,30.93,3,1
1842,1,32.91,1,1
1206,21,215.84,21,0
738,20,279.83,16,0
549,8,90.25,6,0
1841,2,17.9,2,1
1841,3,19.25,3,1
1841,1,22.0,1,1
760,3,17.28,3,0
1841,2,6.0,1,1
473,2,14.43,1,0
959,19,141.08,12,0
1841,1,11.65,1,1
1841,1,23.13,1,1
218,17,473.25,13,0
1591,2,11.93,2,1
1841,1,2.12,1,1
1840,1,18.75,1,1
1622,5,93.96,5,1
1841,1,5.75,1,1
1841,1,23.75,1,1
1841,1,12.43,1,1
1841,2,34.42,2,1
1073,2,39.29,2,0
1841,2,11.73,2,1
1841,1,354.67,1,1
1841,2,33.49,2,1
1841,1,3.83,1,1
1841,1,11.47,1,1
1785,2,66.77,2,1
1841,2,29.8,2,1
1841,1,19.44,1,1
1840,1,15.6,1,1
1841,1,27.93,1,1
1841,4,15.98,4,1
1841,2,19.67,2,1
1475,6,53.12,5,1
1840,2,9.35,2,1
1841,4,4.67,4,1
560,24,331.39,24,3
1696,12,210.56,12,1
1833,6,58.87,5,1
1841,1,2.12,1,1
1320,4,33.61,4,0
1841,2,22.03,2,1
1840,20,86.68,18,1
1840,1,5.47,1,1
1840,1,72.62,1,1
552,1,18.63,1,0
1820,2,31.29,1,1
1840,1,33.13,1,1
1840,3,3.31,3,1
321,7,115.42,7,0
1784,7,47.87,7,1
1840,1,7.58,1,1
1674,2,39.0,1,1
1840,1,83.32,1,1
1485,3,32.83,3,1
526,9,90.57,9,0
1840,4,26.58,4,1
1840,6,61.57,6,1
1840,4,71.7,2,1
326,3,22.95,3,0
1840,2,16.32,1,1
1840,3,49.6,3,1
1840,2,27.65,2,1
730,1,18.81,1,0
417,4,55.53,4,0
1224,3,53.64,3,0
1840,1,16.18,1,1
1630,4,79.53,4,1
555,1,11.41,1,0
173,77,1441.04,48,3
721,1,7.55,1,0
1840,2,25.93,2,1
1820,3,15.76,2,1
1160,2,14.57,2,0
1840,1,23.64,1,1
1218,2,15.0,2,0
1840,1,6.96,1,1
593,1,10.08,1,0
1607,2,9.05,2,1
1662,4,53.75,3,1
1542,2,19.82,2,1
266,1,26.53,1,0
1778,13,55.42,9,1
1603,2,65.0,1,1
506,2,53.09,2,0
1840,1,22.18,1,1
1403,3,26.37,3,0
1840,3,25.33,3,1
1840,7,135.65,7,1
1787,2,46.46,1,1
280,19,74.66,17,0
1840,2,15.34,2,1
1840,2,36.42,2,1
1297,18,68.66,17,0
1840,3,33.69,3,1
1840,6,82.36,6,1
1840,1,27.06,1,1
1839,3,11.36,2,1
1839,6,20.5,4,1
1839,2,15.43,2,1
1624,26,132.8,25,1
340,4,39.04,4,0
1637,5,61.77,4,1
1453,2,26.46,2,1
1839,1,88.67,1,1
1839,3,47.12,3,1
1839,1,16.26,1,1
1839,1,11.08,1,1
550,2,39.21,2,0
750,5,167.54,5,0
1839,1,30.5,1,1
1839,2,19.94,2,1
1839,1,35.18,1,1
1839,1,58.78,1,1
1839,1,16.25,1,1
1839,1,0.75,1,1
1744,2,24.33,2,1
1839,1,4.08,1,1
1644,1,14.53,1,1
1839,4,24.37,4,1
1839,1,11.09,1,1
1607,6,36.0,5,1
810,8,43.68,8,0
1839,2,49.46,1,1
1820,3,61.35,3,1
1839,1,17.33,1,1
1839,4,230.9,4,1
1839,1,17.33,1,1
1839,1,7.3,1,1
1513,11,78.53,10,1
660,3,87.58,3,0
1839,2,24.14,2,1
1839,5,25.61,2,1
1839,2,39.8,2,1
1839,4,19.25,4,1
804,4,70.08,4,0
1558,7,32.82,7,1
1188,9,47.66,9,0
1772,2,38.79,2,1
1839,1,34.22,1,1
1839,2,20.11,2,1
1839,1,7.68,1,1
1839,1,20.22,1,1
637,7,66.48,7,0
1189,3,17.64,3,0
1833,5,66.48,5,1
1838,1,10.98,1,1
1833,13,71.87,13,1
1015,3,43.27,3,0
1838,6,31.26,1,1
1838,1,8.98,1,1
1838,3,14.47,3,1
1838,1,67.67,1,1
711,18,133.1,17,0
1838,1,24.34,1,1
1838,5,12.86,5,1
1588,3,94.66,3,1
1838,3,57.53,3,1
807,16,96.85,15,0
650,3,28.13,3,0
1838,1,33.13,1,1
1838,2,72.25,2,1
1838,2,11.79,2,1
1838,1,7.42,1,1
905,9,225.63,8,0
217,3,131.35,3,0
1838,3,28.89,3,1
1813,6,38.6,6,1
1838,3,10.65,3,1
1838,1,4.66,1,1
1393,7,107.08,6,0
1838,1,5.77,1,1
1838,1,9.47,1,1
1838,2,17.55,1,1
1838,11,59.6,11,1
371,2,167.31,2,0
1838,1,65.33,1,1
1835,4,31.54,4,1
771,5,69.18,3,0
1838,3,22.23,3,1
469,8,78.48,6,0
285,5,41.09,5,0
1838,1,16.18,1,1
1770,4,133.91,3,1
1838,3,32.97,3,1
1193,6,31.01,6,0
1838,5,25.6,4,1
1838,2,28.31,2,1
1838,39,189.75,22,3
1219,8,142.85,6,0
626,51,508.27,49,3
1838,2,11.48,2,1
204,1,22.98,1,0
1838,1,29.98,1,1
1760,9,129.27,6,1
1837,1,10.13,1,1
1835,2,15.39,2,1
1837,1,13.72,1,1
1630,1,10.67,1,1
1837,1,6.43,1,1
1837,1,13.67,1,1
864,7,38.11,5,0
1837,1,22.79,1,1
1837,1,49.99,1,1
1837,3,-2.5,2,1
1737,1,7.39,1,1
1788,5,75.4,5,1
1837,1,6.65,1,1
1724,10,82.27,9,1
1837,1,13.2,1,1
1837,2,23.79,2,1
1338,2,16.7,2,0
1837,1,4.66,1,1
1837,1,26.85,1,1
1837,1,13.31,1,1
1813,1,30.01,1,1
1837,3,10.59,3,1
1837,1,2.83,1,1
510,7,54.08,7,0
1837,1,47.13,1,1
1836,4,18.97,4,1
427,14,225.05,12,0
1794,1,27.8,1,1
1837,1,14.99,1,1
1808,3,22.02,3,1
1837,6,70.18,6,1
1836,1,16.25,1,1
568,2,50.42,2,0
349,3,74.25,3,0
1833,2,35.1,1,1
301,5,26.77,4,0
1608,1,28.62,1,1
1074,2,61.9,2,0
1021,3,6.22,3,0
1836,2,19.87,2,1
1836,1,7.71,1,1
1836,1,12.62,1,1
517,6,44.93,5,0
910,14,206.66,13,0
1836,4,41.86,4,1
269,3,50.28,3,0
1836,6,21.78,4,1
1836,1,2.65,1,1
1662,2,15.62,2,1
1836,1,6.65,1,1
1157,4,46.38,4,0
1836,1,22.43,1,1
1836,1,3.23,1,1
507,6,87.75,5,0
393,6,84.4,5,0
1836,1,21.13,1,1
743,16,124.2,15,0
1836,1,65.33,1,1
1836,1,7.94,1,1
228,6,73.37,6,0
1836,2,28.49,2,1
1836,3,25.99,3,1
1836,1,12.81,1,1
1836,2,34.16,1,1
1836,2,29.38,2,1
1832,11,77.21,6,1
1641,5,90.24,4,1
1192,2,16.21,2,0
1836,1,65.33,1,1
218,37,232.51,36,3
1836,2,9.19,2,1
1836,1,8.78,1,1
1542,6,41.89,6,1
1836,1,-0.32,1,1
830,17,140.66,17,0
820,11,71.15,11,0
1836,1,18.79,1,1
675,3,30.66,3,0
1836,4,33.75,4,1
1170,2,25.92,2,0
350,3,13.93,2,0
1833,3,22.01,3,1
1835,1,19.34,1,1
1835,1,0.95,1,1
493,4,153.85,4,0
1835,1,19.06,1,1
1835,1,25.19,1,1
1835,1,13.67,1,1
1654,6,87.58,6,1
1835,1,33.01,1,1
1835,4,37.51,4,1
1735,6,44.85,6,1
1835,1,33.13,1,1
1835,1,12.95,1,1
1835,1,5.36,1,1
1835,4,30.21,4,1
1835,1,6.9,1,1
1835,1,19.44,1,1
1835,1,8.41,1,1
1835,2,19.87,2,1
1716,6,72.71,6,1
1834,1,16.26,1,1
1835,1,22.72,1,1
1309,1,27.45,1,0
687,4,13.23,4,0
1835,3,28.03,3,1
1835,3,29.05,3,1
1287,6,77.08,6,0
1835,2,22.01,2,1
1835,2,20.85,2,1
1835,1,21.13,1,1
1835,1,27.8,1,1
1795,11,97.32,10,1
1835,2,13.35,2,1
1835,1,9.47,1,1
1835,1,20.35,1,1
1835,1,22.46,1,1
279,6,59.67,5,0
1760,3,17.35,3,1
1746,5,70.11,4,1
1394,1,22.39,1,0
1835,1,11.15,1,1
869,2,47.79,2,0
217,3,17.79,3,0
1835,6,22.85,6,1
1752,7,57.35,7,1
1835,2,20.49,2,1
1835,1,25.79,1,1
1835,1,2.12,1,1
1029,2,30.14,2,0
1386,2,18.99,2,0
1831,2,27.12,2,1
809,7,79.61,6,0
1046,3,23.93,3,0
1835,4,25.24,4,1
1835,2,4.24,1,1
1835,1,11.46,1,1
1606,23,93.01,21,1
356,16,142.67,15,0
1835,1,19.34,1,1
1476,3,33.35,3,1
1835,1,28.27,1,1
1634,4,32.76,4,1
1534,3,13.92,3,1
1835,1,34.22,1,1
283,8,63.96,8,0
1636,3,74.54,3,1
762,2,44.09,2,0
326,6,41.05,5,0
1835,1,13.05,1,1
1835,1,23.64,1,1
187,18,162.37,15,0
932,32,224.78,28,3
1835,1,4.39,1,1
874,8,158.88,8,0
928,3,26.97,3,0
1093,2,48.87,2,0
1835,1,3.11,1,1
1835,2,20.71,2,1
1834,1,12.89,1,1
1834,7,30.68,4,1
436,7,133.77,5,0
1834,1,31.47,1,1
1834,2,16.65,2,1
1834,1,33.13,1,1
378,3,45.31,3,0
1784,7,128.16,7,1
1088,14,73.22,14,0
1694,8,73.52,6,1
1012,5,61.86,5,0
399,12,124.11,12,0
1834,1,2.41,1,1
1834,2,53.03,2,1
1756,1,15.78,1,1
1834,2,57.49,2,1
1214,3,33.37,3,0
1186,1,8.99,1,0
1834,1,26.33,1,1
1834,2,17.79,2,1
218,45,365.23,41,3
1834,2,13.3,2,1
1074,3,58.57,3,0
1834,1,13.72,1,1
1834,1,22.5,1,1
1231,1,3.89,1,0
1834,2,8.84,2,1
845,2,16.58,2,0
1035,3,19.74,3,0
1834,1,4.39,1,1
1626,2,32.57,2,1
761,5,83.19,5,0
1833,1,16.26,1,1
1822,3,25.12,3,1
1834,1,8.41,1,1
1362,3,21.26,3,0
1834,1,300.83,1,1
1834,1,4.39,1,1
1833,1,6.83,1,1
1812,2,30.94,1,1
1323,12,82.24,10,0
1385,5,88.55,5,0
968,14,115.49,13,0
477,7,63.11,4,0
1834,1,17.96,1,1
1834,1,11.15,1,1
1834,2,65.83,2,1
1834,5,63.94,4,1
1834,5,17.49,3,1
1194,1,32.34,1,0
1172,3,26.19,3,0
1575,3,24.2,3,1
1833,1,24.43,1,1
1833,1,36.3,1,1
1823,2,36.14,2,1
1805,1,6.31,1,1
1833,6,69.64,2,1
1833,1,12.43,1,1
661,15,76.68,14,0
1833,1,28.25,1,1
722,3,28.79,2,0
1430,3,35.86,3,1
559,34,183.7,32,3
834,28,179.87,28,3
1526,1,14.14,1,1
1243,3,40.33,3,0
1833,1,6.66,1,1
450,14,123.32,13,0
623,5,55.91,5,0
1833,1,17.09,1,1
1661,9,35.76,9,1
995,4,41.26,4,0
453,5,15.01,4,0
720,9,113.93,9,0
1283,1,16.77,1,0
1832,2,7.12,2,1
1028,6,34.69,5,0
1833,8,63.78,7,1
1833,1,23.28,1,1
1833,1,7.78,1,1
568,10,51.63,10,0
1797,2,14.38,2,1
1833,1,60.39,1,1
1395,3,22.48,2,0
1833,2,5.77,2,1
828,3,17.18,3,0
1833,1,8.33,1,1
1833,8,22.72,8,1
1833,1,49.99,1,1
1831,2,19.95,2,1
1833,2,162.92,2,1
1833,1,31.47,1,1
1733,3,24.55,1,1
1827,2,53.76,1,1
1833,1,30.09,1,1
1421,5,41.91,5,0
562,2,52.84,2,0
1601,1,14.1,1,1
286,18,79.47,18,0
1833,1,7.18,1,1
1134,3,34.91,3,0
1833,5,23.19,5,1
1832,1,3.0,1,1
1833,2,21.09,2,1
1833,1,28.27,1,1
1713,2,12.73,2,1
1337,4,45.79,4,0
1387,5,41.97,3,0
288,3,28.24,3,0
1010,6,41.06,5,0
1764,5,55.91,4,1
1833,1,7.71,1,1
649,2,63.57,2,0
632,1,28.0,1,0
1807,7,36.09,7,1
1833,1,7.37,1,1
1470,3,5.19,3,1
1500,2,3.08,2,1
1684,5,39.16,5,1
1820,2,142.04,2,1
1777,3,31.94,3,1
443,12,138.04,12,0
569,7,59.03,7,0
668,11,50.61,11,0
1832,3,14.0,3,1
444,8,36.1,8,0
1005,2,27.96,1,0
714,11,104.69,11,0
339,8,147.34,8,0
1666,7,140.37,5,1
1815,1,16.15,1,1
1503,2,17.31,2,1
1832,4,17.97,3,1
304,2,12.54,2,0
832,14,66.83,13,0
1832,4,24.33,4,1
1774,9,28.5,9,1
1832,1,62.67,1,1
1721,12,194.4,10,1
1584,2,65.81,2,1
1832,1,23.93,1,1
1487,3,68.13,3,1
1420,1,9.64,1,1
1763,1,16.58,1,1
1832,2,22.21,2,1
1829,2,21.17,2,1
1832,3,34.7,3,1
1832,2,30.96,2,1
1832,1,12.95,1,1
630,21,272.01,18,0
206,31,166.13,12,0
1206,16,66.88,16,0
1832,2,7.08,2,1
1832,3,18.96,3,1
517,13,95.29,12,0
205,37,240.71,29,3
1098,3,28.34,1,0
1120,1,59.8,1,0
1750,5,9.58,5,1
1832,9,60.97,9,1
689,10,41.96,10,0
458,8,101.45,8,0
1027,6,51.37,5,0
1832,1,23.78,1,1
1645,12,52.61,11,1
1205,11,89.11,9,0
1832,5,8.97,5,1
1832,1,3.18,1,1
710,4,46.64,4,0
1832,1,15.6,1,1
1633,6,54.31,6,1
1416,3,42.83,2,0
1746,8,68.27,8,1
1674,8,108.02,8,1
372,5,118.54,4,0
1820,6,65.4,4,1
1200,5,36.13,5,0
1714,6,31.91,6,1
691,4,37.27,3,0
1831,1,23.03,1,1
1245,1,13.64,1,0
388,14,110.58,12,0
878,5,71.45,5,0
1831,1,11.15,1,1
1831,1,6.13,1,1
521,27,224.59,21,0
1831,1,15.83,1,1
1714,5,41.13,4,1
1298,10,116.76,9,0
1758,4,47.29,3,1
1521,4,9.11,4,1
427,1,25.28,1,0
1191,3,25.63,3,0
336,8,62.21,8,0
1774,1,11.75,1,1
1831,1,23.0,1,1
1794,2,30.06,2,1
1831,2,130.66,1,1
1831,3,25.04,3,1
1462,4,41.89,4,1
504,6,165.54,6,0
1826,4,21.17,4,1
1831,2,19.56,2,1
1600,1,13.2,1,1
1413,3,87.38,3,1
1831,6,24.24,6,1
1831,1,11.17,1,1
1831,1,35.18,1,1
1470,6,53.34,6,1
1831,1,7.68,1,1
630,6,54.62,6,0
1831,1,23.93,1,1
1828,7,35.01,7,1
349,4,79.05,4,0
927,2,26.21,2,0
1831,1,26.18,1,1
186,5,41.83,5,0
225,4,34.22,2,0
1831,1,3.7,1,1
192,36,246.52,33,3
1831,1,11.08,1,1
1795,3,64.05,3,1
1685,10,147.03,7,1
1441,5,45.53,5,1
827,9,31.55,8,0
1693,3,35.98,3,1
271,3,20.65,3,0
1830,1,110.5,1,1
1830,1,15.48,1,1
1830,1,11.15,1,1
216,89,1843.01,52,3
369,3,22.0,3,0
1830,1,12.01,1,1
1830,3,45.05,3,1
499,7,99.12,7,0
933,4,68.83,4,0
1391,4,21.25,4,0
1830,1,5.36,1,1
1830,1,23.33,1,1
1830,1,70.57,1,1
1013,4,24.0,3,0
1827,1,25.19,1,1
1830,3,22.59,1,1
1830,1,8.41,1,1
405,18,115.56,15,0
978,10,62.19,8,0
1821,2,10.28,2,1
1830,1,-7.7,1,1
1830,1,28.79,1,1
1829,11,104.33,9,1
596,4,42.33,4,0
552,18,122.91,16,0
870,2,28.29,2,0
1830,1,6.66,1,1
1830,1,14.49,1,1
1830,3,49.17,3,1
1605,16,57.3,15,1
1830,2,32.52,1,1
1830,1,23.84,1,1
1479,1,33.52,1,1
1461,3,34.7,3,1
316,36,385.72,34,3
884,7,74.89,7,0
1830,1,80.21,1,1
969,4,19.31,3,0
285,5,24.87,5,0
1830,9,80.2,5,1
1733,3,20.02,3,1
203,11,83.78,8,0
1830,1,4.99,1,1
1830,1,28.27,1,1
169,1,17.27,1,0
1827,2,0.95,2,1
1206,15,78.87,8,0
956,3,62.05,3,0
1830,1,7.74,1,1
1830,2,7.67,2,1
1830,1,58.64,1,1
1676,5,48.28,5,1
783,4,44.46,4,0
500,4,74.69,3,0
1829,5,18.96,5,1
1829,4,24.58,3,1
884,4,33.75,4,0
1503,4,26.24,4,1
1829,1,11.15,1,1
1829,1,22.43,1,1
1131,1,56.93,1,0
1824,3,72.17,2,1
627,19,116.12,18,0
1029,6,31.53,6,0
1829,1,15.6,1,1
1196,26,100.58,13,0
1829,1,8.67,1,1
1829,1,21.13,1,1
1590,4,56.36,4,1
1422,1,27.61,1,1
1829,2,4.26,1,1
645,7,26.71,7,0
1600,4,38.22,4,1
1829,1,9.47,1,1
1829,2,39.53,2,1
1829,3,46.45,2,1
1829,1,27.69,1,1
1514,4,46.59,3,1
1351,4,58.62,4,0
1479,3,105.17,3,1
1829,1,24.79,1,1
778,4,52.25,4,0
417,11,97.87,10,0
1463,2,8.65,2,1
282,4,29.89,4,0
502,8,168.24,8,0
1486,42,261.59,39,3
1829,1,22.18,1,1
302,4,68.63,3,0
580,1,24.98,1,0
1011,2,8.75,2,0
1373,4,25.0,3,0
1829,5,22.25,5,1
1829,1,19.44,1,1
450,1,28.35,1,0
509,16,204.14,14,0
1829,4,11.4,4,1
1829,1,12.1,1,1
1829,1,7.68,1,1
522,1,4.29,1,0
1829,1,23.23,1,1
1637,1,14.53,1,1
643,3,35.99,3,0
1539,2,20.65,2,1
659,11,96.4,11,0
780,4,24.1,4,0
608,1,39.89,1,0
1828,2,21.47,2,1
1096,4,45.86,4,0
1604,6,11.89,5,1
1828,15,29.11,15,1
1828,1,10.1,1,1
1598,1,16.17,1,1
1760,2,65.82,1,1
838,7,47.97,6,0
293,18,171.05,13,0
1828,1,16.13,1,1
1374,22,79.79,21,0
721,1,23.33,1,0
1748,3,40.02,3,1
664,2,64.79,1,0
1820,1,88.67,1,1
1447,28,91.53,27,0
1828,3,25.27,3,1
1828,1,15.25,1,1
538,1,10.1,1,0
1410,13,116.35,12,0
1828,1,9.84,1,1
287,5,103.03,5,0
